"ttp"	"description"
"t1044"	"processes may automatically execute specific binaries as part of their functionality or to perform other actions. if the permissions on the file system directory containing a target binary, or permissions on the binary itself, are improperly set, then the target binary may be overwritten with another binary using user-level permissions and executed by the original process. if the original process and thread are running under a higher permissions level, then the replaced binary will also execute under higher-level permissions, which could include system.

adversaries may use this technique to replace legitimate binaries with malicious ones as a means of executing code at a higher permissions level. if the executing process is set to run at a specific time or during a certain event e.g., system bootup then this technique can also be used for persistence.

### services

manipulation of windows service binaries is one variation of this technique. adversaries may replace a legitimate service executable with their own executable to gain persistence and/or privilege escalation to the account context the service is set to execute under local/domain account, system, localservice, or networkservice. once the service is started, either directly by the user if appropriate access is available or through some other means, such as a system restart if the service starts on bootup, the replaced executable will run instead of the original service executable.

### executable installers

another variation of this technique can be performed by taking advantage of a weakness that is common in executable, self-extracting installers. during the installation process, it is common for installers to use a subdirectory within the %temp% directory to unpack binaries such as dlls, exes, or other payloads. when installers create subdirectories and files they often do not set appropriate permissions to restrict write access, which allows for execution of untrusted code placed in the subdirectories or overwriting of binaries used in the installation process. this behavior is related to and may take advantage of dll search order hijacking. some installers may also require elevated privileges that will result in privilege escalation when executing adversary controlled code. this behavior is related to bypass user account control. several examples of this weakness in existing common installers have been reported to software vendors. citation: mozilla firefox installer dll hijack citation: seclists kanthak 7zip installer"
"t1564.008"	"adversaries may use email rules to hide inbound emails in a compromised user's mailbox. many email clients allow users to create inbox rules for various email functions, including moving emails to other folders, marking emails as read, or deleting emails. rules may be created or modified within email clients or through external features such as the new-inboxrule or set-inboxrule powershell cmdlets on windows systems.citation: microsoft inbox rulescitation: macos email rulescitation: microsoft new-inboxrulecitation: microsoft set-inboxrule

adversaries may utilize email rules within a compromised user's mailbox to delete and/or move emails to less noticeable folders. adversaries may do this to hide security alerts, c2 communication, or responses to internal spearphishing emails sent from the compromised account.

any user or administrator within the organization or adversary with valid credentials may be able to create rules to automatically move or delete emails. these rules can be abused to impair/delay detection had the email content been immediately seen by a user or defender. malicious rules commonly filter out emails based on key words such as malware, suspicious, phish, and hack found in message bodies and subject lines. citation: microsoft cloud app security"
"t1491.002"	"an adversary may deface systems external to an organization in an attempt to deliver messaging, intimidate, or otherwise mislead an organization or users. external defacement may ultimately cause users to distrust the systems and to question/discredit the system’s integrity. externally-facing websites are a common victim of defacement; often targeted by adversary and hacktivist groups in order to push a political message or spread propaganda.citation: fireeye cyber threats to media industriescitation: kevin mandia statement to us senate committee on intelligencecitation: anonymous hackers deface russian govt site external defacement may be used as a catalyst to trigger events, or as a response to actions taken by an organization or government. similarly, website defacement may also be used as setup, or a precursor, for future attacks such as drive-by compromise.citation: trend micro deep dive into defacement"
"t1171"	"link-local multicast name resolution llmnr and netbios name service nbt-ns are microsoft windows components that serve as alternate methods of host identification. llmnr is based upon the domain name system dns format and allows hosts on the same local link to perform name resolution for other hosts. nbt-ns identifies systems on a local network by their netbios name. citation: wikipedia llmnr citation: technet netbios

adversaries can spoof an authoritative source for name resolution on a victim network by responding to llmnr udp 5355/nbt-ns udp 137 traffic as if they know the identity of the requested host, effectively poisoning the service so that the victims will communicate with the adversary controlled system. if the requested host belongs to a resource that requires identification/authentication, the username and ntlmv2 hash will then be sent to the adversary controlled system. the adversary can then collect the hash information sent over the wire through tools that monitor the ports for traffic or through network sniffing and crack the hashes offline through brute force to obtain the plaintext passwords. in some cases where an adversary has access to a system that is in the authentication path between systems or when automated scans that use credentials attempt to authenticate to an adversary controlled system, the ntlmv2 hashes can be intercepted and relayed to access and execute code against a target system. the relay step can happen in conjunction with poisoning but may also be independent of it. citation: byt3bl33d3r ntlm relayingcitation: secure ideas smb relay

several tools exist that can be used to poison name services within local networks such as nbnspoof, metasploit, and responder. citation: github nbnspoof citation: rapid7 llmnr spoofer citation: github responder"
"t1590.005"	"adversaries may gather the victim's ip addresses that can be used during targeting. public ip addresses may be allocated to organizations by block, or a range of sequential addresses. information about assigned ip addresses may include a variety of details, such as which ip addresses are in use. ip addresses may also enable an adversary to derive other details about a victim, such as organizational size, physical locations, internet service provider, and or where/how their publicly-facing infrastructure is hosted.

adversaries may gather this information in various ways, such as direct collection actions via active scanning or phishing for information. information about assigned ip addresses may also be exposed to adversaries via online or other accessible data sets ex: search open technical databases.citation: whoiscitation: dns dumpstercitation: circl passive dns gathering this information may reveal opportunities for other forms of reconnaissance ex: active scanning or search open websites/domains, establishing operational resources ex: acquire infrastructure or compromise infrastructure, and/or initial access ex: external remote services."
"t1499.001"	"adversaries may launch a denial of service dos attack targeting an endpoint's operating system os. a system's os is responsible for managing the finite resources as well as preventing the entire system from being overwhelmed by excessive demands on its capacity. these attacks do not need to exhaust the actual resources on a system; the attacks may simply exhaust the limits and available resources that an os self-imposes.

different ways to achieve this exist, including tcp state-exhaustion attacks such as syn floods and ack floods.citation: arbor annualdosreport jan 2018 with syn floods, excessive amounts of syn packets are sent, but the 3-way tcp handshake is never completed. because each os has a maximum number of concurrent tcp connections that it will allow, this can quickly exhaust the ability of the system to receive new requests for tcp connections, thus preventing access to any tcp service provided by the server.citation: cloudflare synflood

ack floods leverage the stateful nature of the tcp protocol. a flood of ack packets are sent to the target. this forces the os to search its state table for a related tcp connection that has already been established. because the ack packets are for connections that do not exist, the os will have to search the entire state table to confirm that no match exists. when it is necessary to do this for a large flood of packets, the computational requirements can cause the server to become sluggish and/or unresponsive, due to the work it must do to eliminate the rogue ack packets. this greatly reduces the resources available for providing the targeted service.citation: corero syn-ackflood"
"t1014"	"adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system api calls that supply system information. citation: symantec windows rootkits 

rootkits or rootkit enabling functionality may reside at the user or kernel level in the operating system or lower, to include a hypervisor, master boot record, or system firmware. citation: wikipedia rootkit rootkits have been seen for windows, linux, and mac os x systems. citation: crowdstrike linux rootkit citation: blackhat mac osx rootkit"
"t1546.013"	"adversaries may gain persistence and elevate privileges by executing malicious content triggered by powershell profiles. a powershell profile  profile.ps1 is a script that runs when powershell starts and can be used as a logon script to customize user environments.

powershell supports several profiles depending on the user or host program. for example, there can be different profiles for powershell host programs such as the powershell console, powershell ise or visual studio code. an administrator can also configure a profile that applies to all users and host programs on the local computer. citation: microsoft about profiles 

adversaries may modify these profiles to include arbitrary commands, functions, modules, and/or powershell drives to gain persistence. every time a user opens a powershell session the modified script will be executed unless the -noprofile flag is used when it is launched. citation: eset turla powershell may 2019 

an adversary may also be able to escalate privileges if a script in a powershell profile is loaded and executed by an account with higher privileges, such as a domain administrator. citation: wits end and shady powershell profiles"
"t1059.007"	"adversaries may abuse various implementations of javascript for execution. javascript js is a platform-independent scripting language compiled just-in-time at runtime commonly associated with scripts in webpages, though js can be executed in runtime environments outside the browser.citation: nodejs

jscript is the microsoft implementation of the same scripting standard. jscript is interpreted via the windows script engine and thus integrated with many components of windows such as the component object model and internet explorer html application hta pages.citation: jscrip may 2018citation: microsoft jscript 2007citation: microsoft windows scripts

javascript for automation jxa is a macos scripting language based on javascript, included as part of apple’s open scripting architecture osa, that was introduced in osx 10.10. apple’s osa provides scripting capabilities to control applications, interface with the operating system, and bridge access into the rest of apple’s internal apis. as of osx 10.10, osa only supports two languages, jxa and applescript. scripts can be executed via the command line utility osascript, they can be compiled into applications or script files via osacompile, and they can be compiled and executed in memory of other programs by leveraging the osakit framework.citation: apple about mac scripting 2016citation: specterops jxa 2020citation: sentinelone macos red teamcitation: red canary silver sparrow feb2021citation: mdsec macos jxa and vscode

adversaries may abuse various implementations of javascript to execute various behaviors. common uses include hosting malicious scripts on websites as part of a drive-by compromise or downloading and executing these script files as secondary payloads. since these payloads are text-based, it is also very common for adversaries to obfuscate their content as part of obfuscated files or information."
"t1590.002"	"adversaries may gather information about the victim's dns that can be used during targeting. dns information may include a variety of details, including registered name servers as well as records that outline addressing for a target’s subdomains, mail servers, and other hosts. dns, mx, txt, and spf records may also reveal the use of third party cloud and saas providers, such as office 365, g suite, salesforce, or zendesk.citation: sean metcalf twitter dns records

adversaries may gather this information in various ways, such as querying or otherwise collecting details via dns/passive dns. dns information may also be exposed to adversaries via online or other accessible data sets ex: search open technical databases.citation: dns dumpstercitation: circl passive dns gathering this information may reveal opportunities for other forms of reconnaissance ex: search open technical databases, search open websites/domains, or active scanning, establishing operational resources ex: acquire infrastructure or compromise infrastructure, and/or initial access ex: external remote services."
"t1501"	"systemd services can be used to establish persistence on a linux system. the systemd service manager is commonly used for managing background daemon processes also known as services and other system resources.citation: linux man-pages: systemd january 2014citation: freedesktop.org linux systemd 29sep2018 systemd is the default initialization init system on many linux distributions starting with debian 8, ubuntu 15.04, centos 7, rhel 7, fedora 15, and replaces legacy init systems including sysvinit and upstart while remaining backwards compatible with the aforementioned init systems.

systemd utilizes configuration files known as service units to control how services boot and under what conditions. by default, these unit files are stored in the /etc/systemd/system and /usr/lib/systemd/system directories and have the file extension .service. each service unit file may contain numerous directives that can execute system commands. 

* execstart, execstartpre, and execstartpost directives cover execution of commands when a services is started manually by 'systemctl' or on system start if the service is set to automatically start. 
* execreload directive covers when a service restarts. 
* execstop and execstoppost directives cover when a service is stopped or manually by 'systemctl'.

adversaries have used systemd functionality to establish persistent access to victim systems by creating and/or modifying service unit files that cause systemd to execute malicious commands at recurring intervals, such as at system boot.citation: anomali rocke march 2019citation: gist arch package compromise 10jul2018citation: arch linux package systemd compromise bleepingcomputer 10jul2018citation: acroread package compromised arch linux mail 8jul2018

while adversaries typically require root privileges to create/modify service unit files in the /etc/systemd/system and /usr/lib/systemd/system directories, low privilege users can create/modify service unit files in directories such as ~/.config/systemd/user/ to achieve user-level persistence.citation: rapid7 service persistence 22june2016"
"t1514"	"adversaries may leverage the authorizationexecutewithprivileges api to escalate privileges by prompting the user for credentials.citation: appledocs authorizationexecutewithprivileges the purpose of this api is to give application developers an easy way to perform operations with root privileges, such as for application installation or updating.  this api does not validate that the program requesting root privileges comes from a reputable source or has been maliciously modified. although this api is deprecated, it still fully functions in the latest releases of macos. when calling this api, the user will be prompted to enter their credentials but no checks on the origin or integrity of the program are made. the program calling the api may also load world writable files which can be modified to perform malicious behavior with elevated privileges.

adversaries may abuse authorizationexecutewithprivileges to obtain root privileges in order to install malicious software on victims and install persistence mechanisms.citation: death by 1000 installers; it's all broken!citation: carbon black shlayer feb 2019citation: osx coldroot rat this technique may be combined with masquerading to trick the user into granting escalated privileges to malicious code.citation: death by 1000 installers; it's all broken!citation: carbon black shlayer feb 2019 this technique has also been shown to work by modifying legitimate programs present on the machine that make use of this api.citation: death by 1000 installers; it's all broken!"
"t1123"	"an adversary can leverage a computer's peripheral devices e.g., microphones and webcams or applications e.g., voice and video call services to capture audio recordings for the purpose of listening into sensitive conversations to gather information.

malware or scripts may be used to interact with the devices through an available api provided by the operating system or an application to capture audio. audio files may be written to disk and exfiltrated later."
"t1543"	"adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence. when operating systems boot up, they can start processes that perform background system functions. on windows and linux, these system processes are referred to as services.citation: technet services on macos, launchd processes known as launch daemon and launch agent are run to finish system initialization and load user specific parameters.citation: appledocs launch agent daemons 

adversaries may install new services, daemons, or agents that can be configured to execute at startup or a repeatable interval in order to establish persistence. similarly, adversaries may modify existing services, daemons, or agents to achieve the same effect.  

services, daemons, or agents may be created with administrator privileges but executed under root/system privileges. adversaries may leverage this functionality to create or modify system processes in order to escalate privileges.citation: osx malware detection  "
"t1133"	"adversaries may leverage external-facing remote services to initially access and/or persist within a network. remote services such as vpns, citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations. there are often remote service gateways that manage connections and credential authentication for these services. services such as windows remote management and vnc can also be used externally.citation: macos vnc software for remote desktop

access to valid accounts to use the service is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the enterprise network.citation: volexity virtual private keylogging access to remote services may be used as a redundant or persistent access mechanism during an operation.

access may also be gained through an exposed service that doesn’t require authentication. in containerized environments, this may include an exposed docker api, kubernetes api server, kubelet, or web application such as the kubernetes dashboard.citation: trend micro exposed docker servercitation: unit 42 hildegard malware"
"t1109"	"some adversaries may employ sophisticated means to compromise computer components and install malicious firmware that will execute adversary code outside of the operating system and main system firmware or bios. this technique may be similar to system firmware but conducted upon other system components that may not have the same capability or level of integrity checking. malicious device firmware could provide both a persistent level of access to systems despite potential typical failures to maintain access and hard disk re-images, as well as a way to evade host software-based defenses and integrity checks."
"t1546.006"	"adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries. mach-o binaries have a series of headers that are used to perform certain operations when a binary is loaded. the lc_load_dylib header in a mach-o binary tells macos and os x which dynamic libraries dylibs to load during execution time. these can be added ad-hoc to the compiled binary as long as adjustments are made to the rest of the fields and dependencies.citation: writing bad malware for osx there are tools available to perform these changes.

adversaries may modify mach-o binary headers to load and execute malicious dylibs every time the binary is executed. although any changes will invalidate digital signatures on binaries because the binary is being modified, this can be remediated by simply removing the lc_code_signature command from the binary so that the signature isn’t checked at load time.citation: malware persistence on os x"
"t1539"	"an adversary may steal web application or service session cookies and use them to gain access to web applications or internet services as an authenticated user without needing credentials. web applications and services often use session cookies as an authentication token after a user has authenticated to a website.

cookies are often valid for an extended period of time, even if the web application is not actively used. cookies can be found on disk, in the process memory of the browser, and in network traffic to remote systems. additionally, other applications on the targets machine might store sensitive authentication cookies in memory e.g. apps which authenticate to cloud services. session cookies can be used to bypasses some multi-factor authentication protocols.citation: pass the cookie

there are several examples of malware targeting cookies from web browsers on the local system.citation: kaspersky tajmahal april 2019citation: unit 42 mac crypto cookies january 2019 there are also open source frameworks such as evilginx 2 and muraena that can gather session cookies through a malicious proxy ex: adversary-in-the-middle that can be set up by an adversary and used in phishing campaigns.citation: github evilginx2citation: github mauraena

after an adversary acquires a valid cookie, they can then perform a web session cookie technique to login to the corresponding web application."
"t1053.007"	"adversaries may abuse task scheduling functionality provided by container orchestration tools such as kubernetes to schedule deployment of containers configured to execute malicious code. container orchestration jobs run these automated tasks at a specific date and time, similar to cron jobs on a linux system. deployments of this type can also be configured to maintain a quantity of containers over time, automating the process of maintaining persistence within a cluster.

in kubernetes, a cronjob may be used to schedule a job that runs one or more containers to perform specific tasks.citation: kubernetes jobscitation: kubernetes cronjob an adversary therefore may utilize a cronjob to schedule deployment of a job that executes malicious code in various nodes within a cluster.citation: threat matrix for kubernetes"
"t1568.002"	"adversaries may make use of domain generation algorithms dgas to dynamically identify a destination domain for command and control traffic rather than relying on a list of static ip addresses or domains. this has the advantage of making it much harder for defenders to block, track, or take over the command and control channel, as there potentially could be thousands of domains that malware can check for instructions.citation: cybereason dissecting dgascitation: cisco umbrella dgacitation: unit 42 dga feb 2019

dgas can take the form of apparently random or “gibberish” strings ex: istgmxdejdnxuyla.ru when they construct domain names by generating each letter. alternatively, some dgas employ whole words as the unit by concatenating words together instead of letters ex: cityjulydish.net. many dgas are time-based, generating a different domain for each time period hourly, daily, monthly, etc. others incorporate a seed value as well to make predicting future domains more difficult for defenders.citation: cybereason dissecting dgascitation: cisco umbrella dgacitation: talos ccleanup 2017citation: akamai dga mitigation

adversaries may use dgas for the purpose of fallback channels. when contact is lost with the primary command and control server malware may employ a dga as a means to reestablishing command and control.citation: talos ccleanup 2017citation: fireeye poshspy april 2017citation: eset sednit 2017 activity"
"t1036.007"	"adversaries may abuse a double extension in the filename as a means of masquerading the true file type. a file name may include a secondary file type extension that may cause only the first extension to be displayed ex: file.txt.exe may render in some views as just file.txt. however, the second extension is the true file type that determines how the file is opened and executed. the real file extension may be hidden by the operating system in the file browser ex: explorer.exe, as well as in any software configured using or similar to the system’s policies.citation: pcmag doubleextensioncitation: socprime doubleextension 

adversaries may abuse double extensions to attempt to conceal dangerous file types of payloads. a very common usage involves tricking a user into opening what they think is a benign file type but is actually executable code. such files often pose as email attachments and allow an adversary to gain initial access into a user’s system via spearphishing attachment then user execution. for example, an executable file attachment named evil.txt.exe may display as evil.txt to a user. the user may then view it as a benign text file and open it, inadvertently executing the hidden malware.citation: socprime doubleextension

common file types, such as text files .txt, .doc, etc. and image files .jpg, .gif, etc. are typically used as the first extension to appear benign. executable extensions commonly regarded as dangerous, such as .exe, .lnk, .hta, and .scr, often appear as the second extension and true file type."
"t1548.002"	"adversaries may bypass uac mechanisms to elevate process privileges on system. windows user account control uac allows a program to elevate its privileges tracked as integrity levels ranging from low to high to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. the impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.citation: technet how uac works

if the uac protection level of a computer is set to anything but the highest level, certain windows programs can elevate privileges or execute some elevated component object model objects without prompting the user through the uac notification box.citation: technet inside uaccitation: msdn com elevation an example of this is use of rundll32 to load a specifically crafted dll which loads an auto-elevated component object model object and performs a file operation in a protected directory which would typically require elevated access. malicious software may also be injected into a trusted process to gain elevated privileges without prompting a user.citation: davidson windows

many methods have been discovered to bypass uac. the github readme page for uacme contains an extensive list of methodscitation: github uacme that have been discovered and implemented, but may not be a comprehensive list of bypasses. additional bypass methods are regularly discovered and some used in the wild, such as:

* eventvwr.exe can auto-elevate and execute a specified binary or script.citation: enigma0x3 fileless uac bypasscitation: fortinet fareit

another bypass is possible through some lateral movement techniques if credentials for an account with administrator privileges are known, since uac is a single system security mechanism, and the privilege or integrity of a process running on one system will be unknown on remote systems and default to high integrity.citation: sans uac bypass"
"t1099"	"adversaries may take actions to hide the deployment of new, or modification of existing files to obfuscate their activities. timestomping is a technique that modifies the timestamps of a file the modify, access, create, and change times, often to mimic files that are in the same folder. this is done, for example, on files that have been modified or created by the adversary so that they do not appear conspicuous to forensic investigators or file analysis tools. timestomping may be used along with file name masquerading to hide malware and tools. citation: windowsir anti-forensic techniques"
"t1016.001"	"adversaries may check for internet connectivity on compromised systems. this may be performed during automated discovery and can be accomplished in numerous ways such as using ping, tracert, and get requests to websites.

adversaries may use the results and responses from these requests to determine if the system is capable of communicating with their c2 servers before attempting to connect to them. the results may also be used to identify routes, redirectors, and proxy servers."
"t1548.003"	"adversaries may perform sudo caching and/or use the sudoers file to elevate privileges. adversaries may do this to execute commands as other users or spawn processes with higher privileges.

within linux and macos systems, sudo sometimes referred to as ""superuser do"" allows users to perform commands from terminals with elevated privileges and to control who can perform these commands on the system. the sudo command ""allows a system administrator to delegate authority to give certain users or groups of users the ability to run some or all commands as root or another user while providing an audit trail of the commands and their arguments.""citation: sudo man page 2018 since sudo was made for the system administrator, it has some useful configuration features such as a timestamp_timeout, which is the amount of time in minutes between instances of sudo before it will re-prompt for a password. this is because sudo has the ability to cache credentials for a period of time. sudo creates or touches a file at /var/db/sudo with a timestamp of when sudo was last run to determine this timeout. additionally, there is a tty_tickets variable that treats each new tty terminal session in isolation. this means that, for example, the sudo timeout of one tty will not affect another tty you will have to type the password again.

the sudoers file, /etc/sudoers, describes which users can run which commands and from which terminals. this also describes which commands users can run as other users or groups. this provides the principle of least privilege such that users are running in their lowest possible permissions for most of the time and only elevate to other users or permissions as needed, typically by prompting for a password. however, the sudoers file can also specify when to not prompt users for passwords with a line like user1 all=all nopasswd: all.citation: osx.dok malware elevated privileges are required to edit this file though.

adversaries can also abuse poor configurations of these mechanisms to escalate privileges without needing the user's password. for example, /var/db/sudo's timestamp can be monitored to see if it falls within the timestamp_timeout range. if it does, then malware can execute sudo commands without needing to supply the user's password. additional, if tty_tickets is disabled, adversaries can do this from any tty for that user.

in the wild, malware has disabled tty_tickets to potentially make scripting easier by issuing echo \\'defaults !tty_tickets\\' >> /etc/sudoers.citation: cybereason osx proton in order for this change to be reflected, the malware also issued killall terminal. as of macos sierra, the sudoers file has tty_tickets enabled by default."
"t1560.003"	"an adversary may compress or encrypt data that is collected prior to exfiltration using a custom method. adversaries may choose to use custom archival methods, such as encryption with xor or stream ciphers implemented with no external library or utility references. custom implementations of well-known compression algorithms have also been used.citation: eset sednit part 2"
"t1578"	"an adversary may attempt to modify a cloud account's compute service infrastructure to evade defenses. a modification to the compute service infrastructure can include the creation, deletion, or modification of one or more components such as compute instances, virtual machines, and snapshots.

permissions gained from the modification of infrastructure components may bypass restrictions that prevent access to existing infrastructure. modifying infrastructure components may also allow an adversary to evade detection and remove evidence of their presence.citation: mandiant m-trends 2020"
"t1069"	"adversaries may attempt to find group and permission settings. this information can help adversaries determine which user accounts and groups are available, the membership of users in particular groups, and which users and groups have elevated permissions."
"t1114"	"adversaries may target user email to collect sensitive information. emails may contain sensitive data, including trade secrets or personal information, that can prove valuable to adversaries. adversaries can collect or forward email from mail servers or clients. "
"t1003.002"	"adversaries may attempt to extract credential material from the security account manager sam database either through in-memory techniques or through the windows registry where the sam database is stored. the sam is a database file that contains local accounts for the host, typically those found with the net user command. enumerating the sam database requires system level access.

a number of tools can be used to retrieve the sam file through in-memory techniques:

* pwdumpx.exe
* gsecdump
* mimikatz
* secretsdump.py

alternatively, the sam can be extracted from the registry with reg:

* reg save hklm\\sam sam
* reg save hklm\\system system

creddump7 can then be used to process the sam database locally to retrieve hashes.citation: github creddump7

notes: 

* rid 500 account is the local, built-in administrator.
* rid 501 is the guest account.
* user accounts start with a rid of 1,000+.
"
"t1596.002"	"adversaries may search public whois data for information about victims that can be used during targeting. whois data is stored by regional internet registries rir responsible for allocating and assigning internet resources such as domain names. anyone can query whois servers for information about a registered domain, such as assigned ip blocks, contact information, and dns nameservers.citation: whois

adversaries may search whois data to gather actionable information. threat actors can use online resources or command-line utilities to pillage through whois data for information about potential victims. information from these sources may reveal opportunities for other forms of reconnaissance ex: active scanning or phishing for information, establishing operational resources ex: acquire infrastructure or compromise infrastructure, and/or initial access ex: external remote services or trusted relationship."
"t1542.001"	"adversaries may modify system firmware to persist on systems.the bios basic input/output system and the unified extensible firmware interface uefi or extensible firmware interface efi are examples of system firmware that operate as the software interface between the operating system and hardware of a computer. citation: wikipedia bios citation: wikipedia uefi citation: about uefi

system firmware like bios and uefi underly the functionality of a computer and may be modified by an adversary to perform or assist in malicious activity. capabilities exist to overwrite the system firmware, which may give sophisticated adversaries a means to install malicious firmware updates as a means of persistence on a system that may be difficult to detect."
"t1594"	"adversaries may search websites owned by the victim for information that can be used during targeting. victim-owned websites may contain a variety of details, including names of departments/divisions, physical locations, and data about key employees such as names, roles, and contact info ex: email addresses. these sites may also have details highlighting business operations and relationships.citation: comparitech leak

adversaries may search victim-owned websites to gather actionable information. information from these sources may reveal opportunities for other forms of reconnaissance ex: phishing for information or search open technical databases, establishing operational resources ex: establish accounts or compromise accounts, and/or initial access ex: trusted relationship or phishing."
"t1069.003"	"adversaries may attempt to find cloud groups and permission settings. the knowledge of cloud permission groups can help adversaries determine the particular roles of users and groups within an environment, as well as which users are associated with a particular group.

with authenticated access there are several tools that can be used to find permissions groups. the get-msolrole powershell cmdlet can be used to obtain roles and permissions groups for exchange and office 365 accounts citation: microsoft msolrolecitation: github raindance.

azure cli az cli and the google cloud identity provider api also provide interfaces to obtain permissions groups. the command az ad user get-member-groups will list groups associated to a user account for azure while the api endpoint get https://cloudidentity.googleapis.com/v1/groups lists group resources available to a user for google.citation: microsoft az clicitation: black hills red teaming ms ad azure, 2018citation: google cloud identity api documentation

adversaries may attempt to list acls for objects to determine the owner and other accounts with access to the object, for example, via the aws getbucketacl api citation: aws get bucket acl. using this information an adversary can target accounts with permissions to a given object or leverage accounts they have already compromised to access the object."
"t1574.011"	"adversaries may execute their own malicious payloads by hijacking the registry entries used by services. adversaries may use flaws in the permissions for registry keys related to services to redirect from the originally specified executable to one that they control, in order to launch their own code when a service starts. windows stores local service configuration information in the registry under hklm\\system\\currentcontrolset\\services. the information stored under a service's registry keys can be manipulated to modify a service's execution parameters through tools such as the service controller, sc.exe,  powershell, or reg. access to registry keys is controlled through access control lists and user permissions. citation: registry key securitycitation: malware_hides_service

if the permissions for users and groups are not properly set and allow access to the registry keys for a service, adversaries may change the service's binpath/imagepath to point to a different executable under their control. when the service starts or is restarted, then the adversary-controlled program will execute, allowing the adversary to establish persistence and/or privilege escalation to the account context the service is set to execute under local/domain account, system, localservice, or networkservice.

adversaries may also alter other registry keys in the service’s registry tree. for example, the failurecommand key may be changed so that the service is executed in an elevated context anytime the service fails or is intentionally corrupted.citation: kansa service related collectorscitation: tweet registry perms weakness

the performance key contains the name of a driver service's performance dll and the names of several exported functions in the dll.citation: microsoft_services_registry_tree if the performance key is not already present and if an adversary-controlled user has the create subkey permission, adversaries may create the performance key in the service’s registry tree to point to a malicious dll.citation: insecure_reg_perms

adversaries may also add the parameters key, which stores driver-specific data, or other custom subkeys for their malicious services to establish persistence or enable other malicious activities.citation: microsoft_services_registry_treecitation: troj_zegost additionally, if adversaries launch their malicious services using svchost.exe, the service’s file may be identified using hkey_local_machine\\system\\currentcontrolset\\services\\servicename\\parameters\\servicedll.citation: malware_hides_service"
"t1596.001"	"adversaries may search dns data for information about victims that can be used during targeting. dns information may include a variety of details, including registered name servers as well as records that outline addressing for a target’s subdomains, mail servers, and other hosts.

adversaries may search dns data to gather actionable information. threat actors can query nameservers for a target organization directly, or search through centralized repositories of logged dns query responses known as passive dns.citation: dns dumpstercitation: circl passive dns adversaries may also seek and target dns misconfigurations/leaks that reveal information about internal networks. information from these sources may reveal opportunities for other forms of reconnaissance ex: search victim-owned websites or search open websites/domains, establishing operational resources ex: acquire infrastructure or compromise infrastructure, and/or initial access ex: external remote services or trusted relationship."
"t1499.003"	"adversaries may target resource intensive features of applications to cause a denial of service dos, denying availability to those applications. for example, specific features in web applications may be highly resource intensive. repeated requests to those features may be able to exhaust system resources and deny access to the application or the server itself.citation: arbor annualdosreport jan 2018"
"t1163"	"during the boot process, macos executes source /etc/rc.common, which is a shell script containing various utility functions. this file also defines routines for processing command-line arguments and for gathering system settings, and is thus recommended to include in the start of startup item scripts citation: startup items. in macos and os x, this is now a deprecated technique in favor of launch agents and launch daemons, but is currently still used.

adversaries can use the rc.common file as a way to hide code for persistence that will execute on each reboot as the root user citation: methods of mac malware persistence."
"t1195.001"	"adversaries may manipulate software dependencies and development tools prior to receipt by a final consumer for the purpose of data or system compromise. applications often depend on external software to function properly. popular open source projects that are used as dependencies in many applications may be targeted as a means to add malicious code to users of the dependency.citation: trendmicro npm compromise  

targeting may be specific to a desired victim set or may be distributed to a broad set of consumers but only move on to additional tactics on specific victims. "
